자본총계(비지배),,,,,,,,,083580,아시아11호
자본금,130,130,130,130,130,,,,083580,아시아11호
영업활동현금흐름,8,96,102,8,8,,,,083580,아시아11호
투자활동현금흐름,,,,,,,,,083580,아시아11호
재무활동현금흐름,-8,-96,-102,-8,-8,,,,083580,아시아11호
CAPEX,0,0,0,0,0,,,,083580,아시아11호
FCF,8,96,102,8,8,,,,083580,아시아11호
이자발생부채,,792,695,,,,,,083580,아시아11호
영업이익률,90.77,17.47,19.66,91.22,91.26,,,,083580,아시아11호
순이익률,90.76,17.48,19.66,91.22,91.25,,,,083580,아시아11호
ROE(%),6.01,6.02,6.01,6.01,6.01,,,,083580,아시아11호
ROA(%),5.95,0.83,0.89,5.95,5.95,,,,083580,아시아11호
부채비율,0.94,612.63,537.67,0.94,0.95,,,,083580,아시아11호
자본유보율,0,0,0,-0.01,-0.01,,,,083580,아시아11호
EPS(원),,301,300,300,300,,,,083580,아시아11호
PER(배),,15.56,14.28,13.67,17,,,,083580,아시아11호
BPS(원),4994,4994,4994,4994,4994,,,,083580,아시아11호
PBR(배),0.9,0.94,0.86,0.82,1.02,,,,083580,아시아11호
현금DPS(원),299,300,300,300,300,,,,083580,아시아11호
현금배당수익률,6.64,6.41,7,7.32,5.88,,,,083580,아시아11호
현금배당성향(%),99.73,99.72,99.99,100,100,,,,083580,아시아11호
발행주식수(보통주),2607905,2607905,2607905,2607905,2607905,,,,083580,아시아11호
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,847,1017,1230,1562,1516,,,,037370,EG
영업이익,23,7,64,53,-13,,,,037370,EG
세전계속사업이익,14,-3,68,47,-40,,,,037370,EG
당기순이익,5,-12,47,32,-49,,,,037370,EG
당기순이익(지배),4,-13,47,30,-39,,,,037370,EG
당기순이익(비지배),1,1,0,2,-10,,,,037370,EG
자산총계,764,850,866,939,987,,,,037370,EG
부채총계,240,342,314,362,463,,,,037370,EG
자본총계,524,508,552,578,524,,,,037370,EG
자본총계(지배),518,501,544,567,525,,,,037370,EG
자본총계(비지배),6,7,8,10,-1,,,,037370,EG
자본금,75,75,75,75,75,,,,037370,EG
영업활동현금흐름,48,29,14,50,29,,,,037370,EG
투자활동현금흐름,51,-211,-5,-27,8,,,,037370,EG
재무활동현금흐름,14,78,-33,-24,14,,,,037370,EG
CAPEX,3,239,12,16,10,,,,037370,EG
FCF,46,-210,2,35,19,,,,037370,EG
이자발생부채,96,172,142,146,178,,,,037370,EG
영업이익률,2.68,0.67,5.16,3.39,-0.84,,,,037370,EG
순이익률,0.55,-1.15,3.86,2.02,-3.26,,,,037370,EG
ROE(%),0.71,-2.53,9,5.38,-7.12,,,,037370,EG
ROA(%),0.66,-1.45,5.53,3.49,-5.12,,,,037370,EG
부채비율,45.9,67.28,56.95,62.66,88.32,,,,037370,EG
자본유보율,590.37,567.98,625.69,656.41,599.61,,,,037370,EG
EPS(원),48,-172,627,398,-518,,,,037370,EG
PER(배),1312.55,-231.81,26,42.67,-21.62,,,,037370,EG
BPS(원),6904,6680,7257,7564,6995,,,,037370,EG
PBR(배),9.15,5.97,2.25,2.25,1.6,,,,037370,EG
현금DPS(원),50,50,50,50,50,,,,037370,EG
현금배당수익률,0.08,0.13,0.31,0.29,0.45,,,,037370,EG
현금배당성향(%),103.84,-29.09,7.97,12.55,-9.65,,,,037370,EG
발행주식수(보통주),7500000,7500000,7500000,7500000,7500000,,,,037370,EG
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,14919,8498,5676,3812,3927,,,,001529,동양3우B
영업이익,110,1341,-141,242,351,,,,001529,동양3우B
세전계속사업이익,-878,162,-5978,4202,2366,,,,001529,동양3우B
당기순이익,-938,-1436,-6753,6320,6073,,,,001529,동양3우B
당기순이익(지배),-675,-1350,-6046,6376,6231,,,,001529,동양3우B
당기순이익(비지배),-263,-86,-707,-56,-158,,,,001529,동양3우B
자산총계,36335,34014,11246,8304,11842,,,,001529,동양3우B
부채총계,32798,31668,16061,4555,2242,,,,001529,동양3우B
자본총계,3537,2346,-4815,3750,9600,,,,001529,동양3우B
자본총계(지배),2640,1348,-4818,3739,9601,,,,001529,동양3우B
자본총계(비지배),897,998,2,10,-2,,,,001529,동양3우B
자본금,1277,1277,1277,1183,1196,,,,001529,동양3우B
영업활동현금흐름,-1194,-32,1955,580,376,,,,001529,동양3우B
투자활동현금흐름,-2684,854,-1848,3208,4535,,,,001529,동양3우B
재무활동현금흐름,3752,-1158,-165,-4183,-2918,,,,001529,동양3우B
CAPEX,696,765,451,64,17,,,,001529,동양3우B
FCF,-1890,-797,1505,517,359,,,,001529,동양3우B
이자발생부채,26653,26489,11847,2115,20,,,,001529,동양3우B
영업이익률,0.73,15.78,-2.49,6.34,8.95,,,,001529,동양3우B
순이익률,-6.29,-16.89,-118.97,165.79,154.66,,,,001529,동양3우B
ROE(%),-189.33,-67.69,348.51,-1182.86,93.41,,,,001529,동양3우B
ROA(%),-2.61,-4.08,-29.84,64.66,60.29,,,,001529,동양3우B
부채비율,927.33,1349.75,-333.56,121.48,23.36,,,,001529,동양3우B
자본유보율,157.21,38.49,-431.31,396.25,908.33,,,,001529,동양3우B
EPS(원),-3548,-5404,-24213,3375,2605,,,,001529,동양3우B
PER(배),-3.23,-1.44,-0.12,0.27,1.06,,,,001529,동양3우B
BPS(원),11084,5658,-20226,1584,4008,,,,001529,동양3우B
PBR(배),1.03,1.37,-0.14,0.56,0.69,,,,001529,동양3우B
현금DPS(원),0,0,0,0,100,,,,001529,동양3우B
현금배당수익률,0,0,0,0,3.61,,,,001529,동양3우B
현금배당성향(%),0,0,0,0,3.95,,,,001529,동양3우B
발행주식수(보통주),23945101,23945101,23945101,236163270,238684063,,,,001529,동양3우B
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,264844,253955,225972,214474,222333,,,,105560,KB금융
영업이익,33983,24322,20270,19591,18211,22413,23202,24310,105560,KB금융
세전계속사업이익,32608,22986,18153,19014,21647,23670,24557,25786,105560,KB금융
당기순이익,24286,17401,12747,14151,17273,18138,18749,19661,105560,KB금융
당기순이익(지배),23730,17310,12715,14007,16983,17798,18305,19054,105560,KB금융
당기순이익(비지배),555,91,32,144,290,,,,105560,KB금융
자산총계,2776008,2857511,2921676,3083557,3290655,3451113,3619774,3791254,105560,KB금융
부채총계,2545010,2609879,2661853,2808430,3001627,3149932,3302381,3461440,105560,KB금융
자본총계,230998,247631,259823,275127,289027,302261,316829,329958,105560,KB금융
자본총계(지배),229180,245686,259823,273151,286806,300114,314083,329369,105560,KB금융
자본총계(비지배),1818,1945,,1976,2221,,,,105560,KB금융
자본금,19318,19318,19318,19318,19318,18089,18089,17753,105560,KB금융
영업활동현금흐름,-40072,76446,-63455,32767,21936,,,,105560,KB금융
투자활동현금흐름,6886,-25322,41788,-16843,-50753,,,,105560,KB금융
재무활동현금흐름,47749,-32523,17071,-7551,32553,,,,105560,KB금융
CAPEX,2619,1431,1535,2020,2292,,,,105560,KB금융
FCF,,,,,,,,,105560,KB금융
이자발생부채,411619,365447,378073,411094,449048,,,,105560,KB금융
영업이익률,12.83,9.58,8.97,9.13,8.19,,,,105560,KB금융
순이익률,9.17,6.85,5.64,6.6,7.77,,,,105560,KB금융
ROE(%),11.46,7.29,5.03,5.26,6.07,6.07,5.96,5.92,105560,KB금융
ROA(%),0.91,0.62,0.44,0.47,0.54,0.54,0.53,0.53,105560,KB금융
부채비율,1101.75,1053.94,1024.49,1020.78,1038.53,1042.12,1042.32,1049.05,105560,KB금융
자본유보율,1095.79,1181.9,1245.01,1324.23,1396.19,,,,105560,KB금융
EPS(원),6142,4480,3291,3626,4396,4607,4738,4932,105560,KB금융
PER(배),5.91,8.46,12.84,9.97,7.54,7.45,7.24,6.95,105560,KB금융
BPS(원),59319,63591,67250,70700,74234,79029,82708,86733,105560,KB금융
PBR(배),0.61,0.6,0.63,0.51,0.45,0.43,0.41,0.4,105560,KB금융
현금DPS(원),720,600,500,780,980,1121,1247,1329,105560,KB금융
현금배당수익률,1.98,1.58,1.18,2.16,2.96,3.27,3.63,3.87,105560,KB금융
현금배당성향(%),11.72,13.39,15.19,21.51,22.29,0.24,0.26,0.27,105560,KB금융
발행주식수(보통주),386351693,386351693,386351693,386351693,386351693,,,,105560,KB금융
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,720,740,740,753,821,,,,054450,텔레칩스
영업이익,-47,-19,-79,17,46,,,,054450,텔레칩스
세전계속사업이익,-32,8,-112,29,21,,,,054450,텔레칩스
당기순이익,-33,7,-173,14,20,,,,054450,텔레칩스
당기순이익(지배),-33,7,-173,14,20,,,,054450,텔레칩스
당기순이익(비지배),,,,,,,,,054450,텔레칩스
자산총계,1092,1091,909,955,998,,,,054450,텔레칩스
부채총계,205,227,221,264,294,,,,054450,텔레칩스
자본총계,887,863,688,691,705,,,,054450,텔레칩스
자본총계(지배),887,863,688,691,705,,,,054450,텔레칩스
자본총계(비지배),,,,,,,,,054450,텔레칩스
자본금,53,53,53,53,53,,,,054450,텔레칩스
영업활동현금흐름,61,22,28,84,65,,,,054450,텔레칩스
투자활동현금흐름,-14,3,-67,-100,-95,,,,054450,텔레칩스
재무활동현금흐름,-32,-11,32,26,38,,,,054450,텔레칩스
CAPEX,8,6,4,6,5,,,,054450,텔레칩스
FCF,54,16,23,78,60,,,,054450,텔레칩스
이자발생부채,,,,,,,,,054450,텔레칩스
영업이익률,-6.49,-2.54,-10.7,2.27,5.56,,,,054450,텔레칩스
순이익률,-4.64,0.95,-23.41,1.9,2.46,,,,054450,텔레칩스
ROE(%),-3.55,0.8,-22.33,2.07,2.89,,,,054450,텔레칩스
ROA(%),-2.95,0.64,-17.32,1.53,2.07,,,,054450,텔레칩스
부채비율,23.08,26.31,32.13,38.16,41.7,,,,054450,텔레칩스
자본유보율,1744.73,1718.51,1389.44,1392.87,1420.49,,,,054450,텔레칩스
EPS(원),-316,66,-1633,134,190,,,,054450,텔레칩스
PER(배),-15.36,64.17,-2.3,36.78,52.11,,,,054450,텔레칩스
BPS(원),9601,9712,7743,7754,7906,,,,054450,텔레칩스
PBR(배),0.51,0.44,0.48,0.64,1.25,,,,054450,텔레칩스
현금DPS(원),80,50,0,70,80,,,,054450,텔레칩스
현금배당수익률,1.65,1.18,0,1.42,0.81,,,,054450,텔레칩스
현금배당성향(%),-22.11,63.24,0,43.66,35.3,,,,054450,텔레칩스
발행주식수(보통주),10596204,10609417,10609417,10630978,10630978,,,,054450,텔레칩스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1169,1396,1409,2031,2113,3216,4204,4480,100130,동국S&C
영업이익,-224,27,92,126,152,252,269,300,100130,동국S&C
세전계속사업이익,-186,86,50,143,321,340,310,330,100130,동국S&C
당기순이익,-147,69,25,110,238,206,230,250,100130,동국S&C
당기순이익(지배),-147,69,25,110,238,252,230,250,100130,동국S&C
당기순이익(비지배),,,,,,,,,100130,동국S&C
자산총계,3041,2821,3004,3058,4019,4660,4950,5220,100130,동국S&C
부채총계,816,532,717,704,1261,1700,1820,1900,100130,동국S&C
자본총계,2226,2289,2286,2353,2758,2960,3130,3320,100130,동국S&C
자본총계(지배),2226,2289,2286,2353,2550,2750,2920,3110,100130,동국S&C
자본총계(비지배),,,,,208,,,,100130,동국S&C
자본금,286,286,286,286,286,290,290,290,100130,동국S&C
영업활동현금흐름,-144,218,-127,340,-9,-390,90,180,100130,동국S&C
투자활동현금흐름,133,-270,248,-247,-147,-440,-410,-420,100130,동국S&C
재무활동현금흐름,-20,2,-55,-56,-40,400,130,,100130,동국S&C
CAPEX,146,129,134,57,100,,,,100130,동국S&C
FCF,-290,89,-261,283,-109,,,,100130,동국S&C
이자발생부채,50,48,33,16,504,,,,100130,동국S&C
영업이익률,-19.16,1.93,6.55,6.19,7.2,7.85,6.4,6.7,100130,동국S&C
순이익률,-12.56,4.94,1.78,5.43,11.24,6.39,5.47,5.58,100130,동국S&C
ROE(%),,3.05,1.1,4.76,9.69,9.51,8.11,8.29,100130,동국S&C
ROA(%),,2.35,0.86,3.64,6.71,4.74,4.79,4.92,100130,동국S&C
부채비율,36.64,23.22,31.37,29.94,45.72,57.43,58.15,57.23,100130,동국S&C
자본유보율,703.9,727.72,722.85,746.54,815.44,,,,100130,동국S&C
EPS(원),-257,121,44,193,416,441,402,438,100130,동국S&C
PER(배),-15.72,22.68,98.84,16.19,11.67,15.83,17.34,15.95,100130,동국S&C
BPS(원),3994,4108,4102,4222,4575,4934,5239,5580,100130,동국S&C
PBR(배),1.01,0.67,1.06,0.74,1.06,1.41,1.33,1.25,100130,동국S&C
현금DPS(원),0,70,70,70,100,105,110,115,100130,동국S&C
현금배당수익률,0,2.56,1.61,2.24,2.06,1.5,1.58,1.65,100130,동국S&C
현금배당성향(%),0,56.62,155.31,35.36,23.47,0.24,0.27,0.26,100130,동국S&C
발행주식수(보통주),57143000,57143000,57143000,57143000,57143000,,,,100130,동국S&C
주요재무정보,2011(GAAP개별),2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1368,1875,2042,2439,2761,3185,3505,3882,122350,삼기오토모티브
영업이익,151,181,170,196,237,278,309,342,122350,삼기오토모티브
세전계속사업이익,134,137,143,164,218,223,284,320,122350,삼기오토모티브
당기순이익,124,108,126,142,161,169,214,243,122350,삼기오토모티브
당기순이익(지배),124,108,119,142,161,169,214,241,122350,삼기오토모티브
당기순이익(비지배),,,7,,,,,,122350,삼기오토모티브
자산총계,1039,1686,2061,2471,2857,3135,3392,3674,122350,삼기오토모티브
부채총계,697,1049,1294,1586,1830,1977,2048,2117,122350,삼기오토모티브
자본총계,342,638,766,886,1027,1158,1344,1554,122350,삼기오토모티브
자본총계(지배),342,638,749,886,1027,1158,1344,1552,122350,삼기오토모티브
자본총계(비지배),,,17,,,,,,122350,삼기오토모티브
자본금,53,15,15,31,31,31,31,31,122350,삼기오토모티브
영업활동현금흐름,161,227,220,323,304,464,534,568,122350,삼기오토모티브
투자활동현금흐름,-144,-114,-402,-601,-513,-501,-476,-333,122350,삼기오토모티브
재무활동현금흐름,-17,-126,185,339,153,85,4,-10,122350,삼기오토모티브
CAPEX,151,327,437,518,463,486,460,318,122350,삼기오토모티브
FCF,10,-101,-217,-195,-160,-8,88,319,122350,삼기오토모티브
이자발생부채,537,781,962,1318,1505,,,,122350,삼기오토모티브
영업이익률,11.02,9.63,8.32,8.05,8.58,8.73,8.82,8.81,122350,삼기오토모티브
순이익률,9.09,5.79,6.17,5.84,5.83,5.29,6.11,6.27,122350,삼기오토모티브
ROE(%),44.27,,17.22,17.42,16.84,15.43,17.13,16.63,122350,삼기오토모티브
ROA(%),12.78,,6.73,6.29,6.05,5.63,6.57,6.88,122350,삼기오토모티브
부채비율,204.02,164.47,168.89,179.04,178.14,170.73,152.35,136.22,122350,삼기오토모티브
자본유보율,548.91,4425.76,5156.23,2868.39,3323.61,,,,122350,삼기오토모티브
EPS(원),579,384,389,462,522,547,695,781,122350,삼기오토모티브
PER(배),4.86,6.42,9.23,8.81,8.69,7.57,5.96,5.3,122350,삼기오토모티브
BPS(원),1282,2143,2473,2873,3332,3756,4361,5034,122350,삼기오토모티브
PBR(배),0.55,1.15,1.45,1.42,1.36,1.1,0.95,0.82,122350,삼기오토모티브
현금DPS(원),0,25,35,70,90,92,100,108,122350,삼기오토모티브
현금배당수익률,0,1.01,0.98,1.72,1.98,2.23,2.42,2.6,122350,삼기오토모티브
현금배당성향(%),0,6.63,8.75,15.15,17.23,0.17,0.14,0.14,122350,삼기오토모티브
발행주식수(보통주),27167040,30732058,30732058,30827256,30827256,,,,122350,삼기오토모티브
주요재무정보,2011(GAAP개별),2012(GAAP개별),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E),2017(E),2018(E),code,name
매출액,146,197,212,286,364,,,,214370,케어젠
영업이익,64,90,87,160,205,,,,214370,케어젠
세전계속사업이익,75,112,97,178,243,,,,214370,케어젠
당기순이익,58,93,83,142,192,,,,214370,케어젠
당기순이익(지배),58,93,83,142,192,,,,214370,케어젠
당기순이익(비지배),,,,,,,,,214370,케어젠
자산총계,257,502,450,631,2565,,,,214370,케어젠
부채총계,35,46,62,67,76,,,,214370,케어젠
자본총계,222,457,388,564,2489,,,,214370,케어젠
자본총계(지배),222,457,388,564,2489,,,,214370,케어젠
자본총계(비지배),,,,,,,,,214370,케어젠
자본금,15,15,15,15,54,,,,214370,케어젠
영업활동현금흐름,48,90,70,143,116,,,,214370,케어젠
투자활동현금흐름,-40,-77,-35,-52,-774,,,,214370,케어젠
재무활동현금흐름,-4,-2,0,48,1727,,,,214370,케어젠
CAPEX,21,79,15,4,149,,,,214370,케어젠
FCF,28,12,54,139,-34,,,,214370,케어젠
이자발생부채,,,0,1,,,,,214370,케어젠
영업이익률,43.82,45.93,41.15,55.82,56.39,,,,214370,케어젠
순이익률,39.74,47.14,39.27,49.52,52.86,,,,214370,케어젠
ROE(%),29.75,27.29,19.72,29.72,12.61,,,,214370,케어젠
ROA(%),25.7,24.41,17.5,26.17,12.04,,,,214370,케어젠
부채비율,15.55,9.96,16.01,11.89,3.07,,,,214370,케어젠
자본유보율,1196.88,1812.48,2322.51,3547.79,4518.42,,,,214370,케어젠
EPS(원),645,1030,926,1570,2064,,,,214370,케어젠
PER(배),,,,,49.41,,,,214370,케어젠
BPS(원),2471,5076,4313,6209,23237,,,,214370,케어젠
PBR(배),0,0,0,0,4.39,,,,214370,케어젠
현금DPS(원),0,0,0,0,600,738,839,971,214370,케어젠
현금배당수익률,,,,,0.59,0.64,0.73,0.84,214370,케어젠
현금배당성향(%),0,0,0,0,33.38,,,,214370,케어젠
발행주식수(보통주),9000000,9000000,9000000,9090000,10710000,,,,214370,케어젠
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,2806,2745,2664,2646,2250,2310,,,002810,삼영무역
영업이익,87,52,43,50,29,40,,,002810,삼영무역
세전계속사업이익,190,271,245,259,229,320,,,002810,삼영무역
당기순이익,155,220,201,215,190,260,,,002810,삼영무역
당기순이익(지배),155,220,201,215,190,260,,,002810,삼영무역
당기순이익(비지배),0,0,0,0,0,,,,002810,삼영무역
자산총계,2403,2502,2744,2963,3029,3220,,,002810,삼영무역
부채총계,526,432,488,511,413,380,,,002810,삼영무역
자본총계,1876,2070,2256,2452,2616,2840,,,002810,삼영무역
자본총계(지배),1870,2065,2250,2446,2610,2830,,,002810,삼영무역
자본총계(비지배),6,6,6,6,6,,,,002810,삼영무역
자본금,80,82,82,82,82,80,,,002810,삼영무역
영업활동현금흐름,30,71,79,140,100,170,,,002810,삼영무역
투자활동현금흐름,-15,10,-42,207,-52,-30,,,002810,삼영무역
재무활동현금흐름,-69,-88,-30,-20,-32,-50,,,002810,삼영무역
CAPEX,10,2,3,2,10,40,,,002810,삼영무역
FCF,20,69,76,137,90,,,,002810,삼영무역
이자발생부채,90,10,,,,,,,002810,삼영무역
영업이익률,3.1,1.89,1.6,1.88,1.31,1.73,,,002810,삼영무역
순이익률,5.51,8.01,7.54,8.13,8.45,11.25,,,002810,삼영무역
ROE(%),,11.19,9.32,9.16,7.5,9.56,,,002810,삼영무역
ROA(%),,8.96,7.66,7.54,6.35,8.32,,,002810,삼영무역
부채비율,28.06,20.86,21.62,20.83,15.77,13.38,,,002810,삼영무역
자본유보율,2138.83,2331.9,2552.22,2786.92,2979.18,,,,002810,삼영무역
EPS(원),940,1337,1221,1306,1152,1579,,,002810,삼영무역
PER(배),5.91,7.07,12.86,18.3,20.96,13.65,,,002810,삼영무역
BPS(원),11672,12889,14047,15269,16290,17665,,,002810,삼영무역
PBR(배),0.48,0.73,1.12,1.57,1.48,1.22,,,002810,삼영무역
현금DPS(원),49,125,125,200,275,300,,,002810,삼영무역
현금배당수익률,0.88,1.32,0.8,0.84,1.14,1.39,,,002810,삼영무역
현금배당성향(%),5.03,9.1,9.96,14.9,23.22,0.19,,,002810,삼영무역
발행주식수(보통주),16466623,16466623,16466623,16466623,16466623,,,,002810,삼영무역
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1328,987,1107,1456,1322,,,,131290,티에스이
영업이익,209,56,32,93,5,,,,131290,티에스이
세전계속사업이익,221,62,24,93,35,,,,131290,티에스이
당기순이익,165,40,-6,76,24,,,,131290,티에스이
당기순이익(지배),157,39,-5,64,19,,,,131290,티에스이
당기순이익(비지배),9,1,-1,11,5,,,,131290,티에스이
자산총계,1732,1705,1707,1794,1930,,,,131290,티에스이
부채총계,488,415,457,467,382,,,,131290,티에스이
자본총계,1244,1290,1250,1327,1548,,,,131290,티에스이
자본총계(지배),1179,1218,1174,1242,1317,,,,131290,티에스이
자본총계(비지배),65,72,76,86,231,,,,131290,티에스이
자본금,50,54,54,54,55,,,,131290,티에스이
영업활동현금흐름,386,146,122,272,34,,,,131290,티에스이
투자활동현금흐름,-548,-93,-69,-255,4,,,,131290,티에스이
재무활동현금흐름,4,-3,-56,-35,87,,,,131290,티에스이
CAPEX,238,190,48,113,95,,,,131290,티에스이
FCF,148,-44,74,159,-61,,,,131290,티에스이
이자발생부채,284,267,287,251,197,,,,131290,티에스이
영업이익률,15.75,5.64,2.85,6.39,0.39,,,,131290,티에스이
순이익률,12.46,4.01,-0.5,5.22,1.8,,,,131290,티에스이
ROE(%),14.06,3.24,-0.4,5.34,1.47,,,,131290,티에스이
ROA(%),10.35,2.3,-0.33,4.34,1.28,,,,131290,티에스이
부채비율,39.2,32.18,36.58,35.16,24.68,,,,131290,티에스이
자본유보율,2336.48,2191.18,2184.74,2303.28,2379.16,,,,131290,티에스이
EPS(원),1444,356,-44,590,171,,,,131290,티에스이
PER(배),9.07,19.22,-198.67,18.73,74.41,,,,131290,티에스이
BPS(원),11089,11457,11487,12144,12599,,,,131290,티에스이
PBR(배),1.18,0.6,0.76,0.91,1.01,,,,131290,티에스이
현금DPS(원),0,0,0,0,0,,,,131290,티에스이
현금배당수익률,0,0,0,0,0,,,,131290,티에스이
현금배당성향(%),,,0,0,0,,,,131290,티에스이
발행주식수(보통주),10882444,10889244,10929479,10929479,11061429,,,,131290,티에스이
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,9907,10243,11394,14438,14267,14665,15615,17538,115160,휴맥스
영업이익,359,307,305,331,485,511,638,743,115160,휴맥스
세전계속사업이익,435,169,287,299,425,467,615,718,115160,휴맥스
당기순이익,348,137,260,204,302,387,477,544,115160,휴맥스
당기순이익(지배),348,137,264,210,310,395,475,546,115160,휴맥스
당기순이익(비지배),,,-4,-6,-8,,,,115160,휴맥스
자산총계,7668,7174,8349,9436,9518,10289,10948,11743,115160,휴맥스
부채총계,3713,3134,3956,4896,4618,5037,5238,5522,115160,휴맥스
자본총계,3955,4040,4393,4541,4900,5251,5713,6221,115160,휴맥스
자본총계(지배),3955,4040,4222,4390,4755,5119,5556,6064,115160,휴맥스
자본총계(비지배),,,170,151,144,,,,115160,휴맥스
자본금,114,114,114,114,120,120,120,120,115160,휴맥스
영업활동현금흐름,184,68,474,-25,906,117,688,110,115160,휴맥스
투자활동현금흐름,-17,153,-209,-100,-585,-288,-314,-217,115160,휴맥스
재무활동현금흐름,-651,-84,-196,186,299,-12,32,28,115160,휴맥스
CAPEX,76,84,138,212,245,180,196,105,115160,휴맥스
FCF,108,-16,337,-237,661,130,354,559,115160,휴맥스
이자발생부채,1245,1204,1402,1644,1858,,,,115160,휴맥스
영업이익률,3.63,3,2.67,2.29,3.4,3.49,4.09,4.24,115160,휴맥스
순이익률,3.52,1.34,2.28,1.42,2.11,2.64,3.05,3.1,115160,휴맥스
ROE(%),9.1,3.43,6.39,4.88,6.77,8.01,8.91,9.41,115160,휴맥스
ROA(%),4.65,1.85,3.35,2.3,3.18,3.9,4.49,4.8,115160,휴맥스
부채비율,93.87,77.58,90.06,107.82,94.25,95.92,91.69,88.76,115160,휴맥스
자본유보율,3416.23,3503.78,3696,3856.17,4012.6,,,,115160,휴맥스
EPS(원),1522,599,1154,919,1299,1653,1988,2285,115160,휴맥스
PER(배),7.36,18.6,10.45,15.07,13.09,7.74,6.44,5.6,115160,휴맥스
BPS(원),17927,18310,19138,19771,20273,21873,23743,25910,115160,휴맥스
PBR(배),0.62,0.61,0.63,0.7,0.84,0.59,0.54,0.49,115160,휴맥스
현금DPS(원),200,200,150,150,150,167,200,150,115160,휴맥스
현금배당수익률,1.79,1.79,1.24,1.08,0.88,1.3,1.56,1.17,115160,휴맥스
현금배당성향(%),12.67,32.16,12.54,15.84,11.37,0.1,0.1,0.07,115160,휴맥스
발행주식수(보통주),22886157,22886157,22886157,22886157,23911798,,,,115160,휴맥스
주요재무정보,2011(IFRS별도),2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,16823,20455,24968,27338,31439,33027,33738,34939,122900,아이마켓코리아
영업이익,413,473,495,568,637,596,646,704,122900,아이마켓코리아
세전계속사업이익,455,514,506,572,657,604,660,710,122900,아이마켓코리아
당기순이익,345,386,386,441,496,454,509,547,122900,아이마켓코리아
당기순이익(지배),345,386,388,405,416,370,406,433,122900,아이마켓코리아
당기순이익(비지배),,,-3,37,80,,,,122900,아이마켓코리아
자산총계,5634,6833,7917,10905,12663,12612,12823,13521,122900,아이마켓코리아
부채총계,2760,3673,4469,6574,8173,7854,7755,8105,122900,아이마켓코리아
자본총계,2875,3160,3448,4331,4490,4758,5068,5416,122900,아이마켓코리아
자본총계(지배),2875,3178,3468,3700,3831,4060,4283,4536,122900,아이마켓코리아
자본총계(비지배),,-18,-19,631,660,,,,122900,아이마켓코리아
자본금,182,182,182,182,182,181,181,181,122900,아이마켓코리아
영업활동현금흐름,-19,-371,538,2179,-422,519,521,630,122900,아이마켓코리아
투자활동현금흐름,-63,-100,-164,-1076,-115,-318,-197,-133,122900,아이마켓코리아
재무활동현금흐름,-72,-72,6,-252,-321,-127,-183,-185,122900,아이마켓코리아
CAPEX,38,44,9,19,19,22,27,23,122900,아이마켓코리아
FCF,-57,-415,528,2159,-441,553,478,583,122900,아이마켓코리아
이자발생부채,,60,183,115,182,,,,122900,아이마켓코리아
영업이익률,2.45,2.31,1.98,2.08,2.03,1.81,1.91,2.02,122900,아이마켓코리아
순이익률,2.05,1.88,1.54,1.62,1.58,1.38,1.51,1.57,122900,아이마켓코리아
ROE(%),12.57,,11.68,11.29,11.04,9.37,9.74,9.81,122900,아이마켓코리아
ROA(%),6.15,,5.23,4.69,4.21,3.59,4,4.15,122900,아이마켓코리아
부채비율,96,116.21,129.61,151.78,182,165.08,153.01,149.63,122900,아이마켓코리아
자본유보율,1482.4,1649.91,1809.85,1986.28,2117.75,,,,122900,아이마켓코리아
EPS(원),961,1073,1080,1125,1157,1029,1130,1204,122900,아이마켓코리아
PER(배),16.86,26.52,23.84,25.23,21.86,12.35,11.24,10.55,122900,아이마켓코리아
BPS(원),8000,8845,9650,10389,10884,11537,12170,12888,122900,아이마켓코리아
PBR(배),2.03,3.22,2.67,2.73,2.32,1.1,1.04,0.99,122900,아이마켓코리아
현금DPS(원),200,250,250,500,500,512,524,563,122900,아이마켓코리아
현금배당수익률,1.23,0.88,0.97,1.76,1.98,4.03,4.13,4.44,122900,아이마켓코리아
현금배당성향(%),20.81,23.3,23.14,44.02,42.31,0.5,0.46,0.47,122900,아이마켓코리아
발행주식수(보통주),35943340,35943340,35943340,35943340,35943340,,,,122900,아이마켓코리아
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
